Site,soil_treatment,depth,matricd,gravel_content,evco,trco_grass,trco_shrub,trco_tree,trco_forb,%sand,%clay,imperm,soiltemp
10,specific,80,1.15,0,0,0.059392272,0.096199668,0.05,0.059392272,0.7,0.134,0,2.232
10,specific,100,1.31,0,0,0.028814231,0.060893731,0,0.028814231,0.7,0.115,0,2.975
10,specific,150,1.31,0,0,0.016925393,0.071545414,0,0.016925393,0.7,0.085,0,2.975
11,specific,10,1.43,0,0.5,0.306575568,0.211234509,0.1,0.306575568,0.551028571,0.185085714,0,0.186
11,specific,20,1.41,0,0.35,0.213538459,0.168060003,0.25,0.213538459,0.522285714,0.226971429,0,0.372
11,specific,30,1.39,0,0.15,0.148735509,0.133709996,0.3,0.148735509,0.510285714,0.233485714,0,0.744
11,specific,40,1.39,0,0,0.103598443,0.106380832,0.2,0.103598443,0.512685714,0.234114286,0,1.116
11,specific,60,1.38,0,0,0.122420124,0.151975847,0.1,0.122420124,0.519542857,0.229771429,0,1.488
11,specific,80,1.15,0,0,0.059392272,0.096199668,0.05,0.059392272,0.5276,0.222457143,0,2.232
11,specific,100,1.31,0,0,0.028814231,0.060893731,0,0.028814231,0.551914286,0.212857143,0,2.975
11,specific,150,1.31,0,0,0.016925393,0.071545414,0,0.016925393,0.552914286,0.211742857,0,2.975
12,specific,10,1.43,0,0.5,0.306575568,0.211234509,0.1,0.306575568,0.551028571,0.185085714,0,0.186
12,specific,20,1.41,0,0.35,0.213538459,0.168060003,0.25,0.213538459,0.522285714,0.226971429,0,0.372
12,specific,30,1.39,0,0.15,0.148735509,0.133709996,0.3,0.148735509,0.510285714,0.233485714,0,0.744
12,specific,40,1.39,0,0,0.103598443,0.106380832,0.2,0.103598443,0.512685714,0.234114286,0,1.116
12,specific,60,1.38,0,0,0.122420124,0.151975847,0.1,0.122420124,0.519542857,0.229771429,0,1.488
12,specific,80,1.15,0,0,0.059392272,0.096199668,0.05,0.059392272,0.5276,0.222457143,0,2.232
12,specific,100,1.31,0,0,0.028814231,0.060893731,0,0.028814231,0.551914286,0.212857143,0,2.975
12,specific,150,1.31,0,0,0.016925393,0.071545414,0,0.016925393,0.552914286,0.211742857,0,2.975
13,specific,10,1.43,0,0.5,0.306575568,0.211234509,0.1,0.306575568,0.651,0.147,0,0.186
13,specific,20,1.41,0,0.35,0.213538459,0.168060003,0.25,0.213538459,0.585,0.214,0,0.372
13,specific,30,1.39,0,0.15,0.148735509,0.133709996,0.3,0.148735509,0.536,0.233,0,0.744
13,specific,40,1.39,0,0,0.103598443,0.106380832,0.2,0.103598443,0.522,0.201,0,1.116
13,specific,60,1.38,0,0,0.122420124,0.151975847,0.1,0.122420124,0.574,0.181,0,1.488
13,specific,80,1.15,0,0,0.059392272,0.096199668,0.05,0.059392272,0.667,0.139,0,2.232
13,specific,100,1.31,0,0,0.028814231,0.060893731,0,0.028814231,0.7,0.093,0,2.975
13,specific,150,1.31,0,0,0.016925393,0.071545414,0,0.016925393,0.65,0.15,0,2.975
14,specific,10,1.43,0,0.5,0.306575568,0.211234509,0.1,0.306575568,0.591,0.197,0,0.186
14,specific,20,1.41,0,0.35,0.213538459,0.168060003,0.25,0.213538459,0.539,0.278,0,0.372
14,specific,30,1.39,0,0.15,0.148735509,0.133709996,0.3,0.148735509,0.571,0.259,0,0.744
14,specific,40,1.39,0,0,0.103598443,0.106380832,0.2,0.103598443,0.628,0.219,0,1.116
14,specific,60,1.38,0,0,0.122420124,0.151975847,0.1,0.122420124,0.587,0.252,0,1.488
14,specific,80,1.15,0,0,0.059392272,0.096199668,0.05,0.059392272,0.585,0.254,0,2.232
14,specific,100,1.31,0,0,0.028814231,0.060893731,0,0.028814231,0.585,0.254,0,2.975
14,specific,150,1.31,0,0,0.016925393,0.071545414,0,0.016925393,0.585,0.254,0,2.975
15,specific,10,1.43,0,0.5,0.306575568,0.211234509,0.1,0.306575568,0.652,0.121,0,0.186
15,specific,20,1.41,0,0.35,0.213538459,0.168060003,0.25,0.213538459,0.663,0.153,0,0.372
15,specific,30,1.39,0,0.15,0.148735509,0.133709996,0.3,0.148735509,0.666,0.139,0,0.744
15,specific,40,1.39,0,0,0.103598443,0.106380832,0.2,0.103598443,0.675,0.115,0,1.116
15,specific,60,1.38,0,0,0.122420124,0.151975847,0.1,0.122420124,0.698,0.107,0,1.488
15,specific,80,1.15,0,0,0.059392272,0.096199668,0.05,0.059392272,0.7,0.097,0,2.232
15,specific,100,1.31,0,0,0.028814231,0.060893731,0,0.028814231,0.7,0.097,0,2.975
15,specific,150,1.31,0,0,0.016925393,0.071545414,0,0.016925393,0.7,0.066,0,2.975
16,specific,10,1.43,0,0.5,0.306575568,0.211234509,0.1,0.306575568,0.7,0.121,0,0.186
16,specific,20,1.41,0,0.35,0.213538459,0.168060003,0.25,0.213538459,0.698,0.153,0,0.372
16,specific,30,1.39,0,0.15,0.148735509,0.133709996,0.3,0.148735509,0.698,0.165,0,0.744
16,specific,40,1.39,0,0,0.103598443,0.106380832,0.2,0.103598443,0.698,0.167,0,1.116
16,specific,60,1.38,0,0,0.122420124,0.151975847,0.1,0.122420124,0.7,0.092,0,1.488
16,specific,80,1.15,0,0,0.059392272,0.096199668,0.05,0.059392272,0.7,0.082,0,2.232
16,specific,100,1.31,0,0,0.028814231,0.060893731,0,0.028814231,0.7,0.086,0,2.975
16,specific,150,1.31,0,0,0.016925393,0.071545414,0,0.016925393,0.7,0.072,0,2.975
17,specific,10,1.43,0,0.5,0.306575568,0.211234509,0.1,0.306575568,0.551028571,0.185085714,0,0.186
17,specific,20,1.41,0,0.35,0.213538459,0.168060003,0.25,0.213538459,0.522285714,0.226971429,0,0.372
17,specific,30,1.39,0,0.15,0.148735509,0.133709996,0.3,0.148735509,0.510285714,0.233485714,0,0.744
17,specific,40,1.39,0,0,0.103598443,0.106380832,0.2,0.103598443,0.512685714,0.234114286,0,1.116
17,specific,60,1.38,0,0,0.122420124,0.151975847,0.1,0.122420124,0.519542857,0.229771429,0,1.488
17,specific,80,1.15,0,0,0.059392272,0.096199668,0.05,0.059392272,0.5276,0.222457143,0,2.232
17,specific,100,1.31,0,0,0.028814231,0.060893731,0,0.028814231,0.551914286,0.212857143,0,2.975
17,specific,150,1.31,0,0,0.016925393,0.071545414,0,0.016925393,0.552914286,0.211742857,0,2.975
18,specific,10,1.43,0,0.5,0.306575568,0.211234509,0.1,0.306575568,0.551028571,0.185085714,0,0.186
18,specific,20,1.41,0,0.35,0.213538459,0.168060003,0.25,0.213538459,0.522285714,0.226971429,0,0.372
18,specific,30,1.39,0,0.15,0.148735509,0.133709996,0.3,0.148735509,0.510285714,0.233485714,0,0.744
18,specific,40,1.39,0,0,0.103598443,0.106380832,0.2,0.103598443,0.512685714,0.234114286,0,1.116
18,specific,60,1.38,0,0,0.122420124,0.151975847,0.1,0.122420124,0.519542857,0.229771429,0,1.488
18,specific,80,1.15,0,0,0.059392272,0.096199668,0.05,0.059392272,0.5276,0.222457143,0,2.232
18,specific,100,1.31,0,0,0.028814231,0.060893731,0,0.028814231,0.551914286,0.212857143,0,2.975
18,specific,150,1.31,0,0,0.016925393,0.071545414,0,0.016925393,0.552914286,0.211742857,0,2.975
19,specific,10,1.43,0,0.5,0.306575568,0.211234509,0.1,0.306575568,0.658,0.148,0,0.186
19,specific,20,1.41,0,0.35,0.213538459,0.168060003,0.25,0.213538459,0.629,0.19,0,0.372
19,specific,30,1.39,0,0.15,0.148735509,0.133709996,0.3,0.148735509,0.629,0.211,0,0.744
19,specific,40,1.39,0,0,0.103598443,0.106380832,0.2,0.103598443,0.629,0.212,0,1.116
19,specific,60,1.38,0,0,0.122420124,0.151975847,0.1,0.122420124,0.664,0.18,0,1.488
19,specific,80,1.15,0,0,0.059392272,0.096199668,0.05,0.059392272,0.7,0.148,0,2.232
19,specific,100,1.31,0,0,0.028814231,0.060893731,0,0.028814231,0.7,0.128,0,2.975
19,specific,150,1.31,0,0,0.016925393,0.071545414,0,0.016925393,0.7,0.07,0,2.975
20,specific,10,1.43,0,0.5,0.306575568,0.211234509,0.1,0.306575568,0.568,0.204,0,0.186
20,specific,20,1.41,0,0.35,0.213538459,0.168060003,0.25,0.213538459,0.505,0.257,0,0.372
20,specific,30,1.39,0,0.15,0.148735509,0.133709996,0.3,0.148735509,0.469,0.263,0,0.744
20,specific,40,1.39,0,0,0.103598443,0.106380832,0.2,0.103598443,0.467,0.254,0,1.116
